日,ニチ;ジツ,ひ;-び;-か,day;sun;Japan;counterfordays
一,イチ;イツ,ひと-;ひと.つ,one;oneradical(no.1)
人,ジン;ニン,ひと;-り;-と,person
国,コク,くに,country
年,ネン,とし,year;counterforyears
大,ダイ;タイ,おお-;おお.きい;-おお.いに,large;big
十,ジュウ;ジッ;ジュッ,とお;と,ten
二,ニ;ジ,ふた;ふた.つ;ふたたび,two;tworadical(no.7)
本,ホン,もと,book;present;main;origin;true;real;counterforlongcylindricalthings
中,チュウ,なか;うち;あた.る,in;inside;middle;mean;center
出,シュツ;スイ,で.る;-で;だ.す;-だ.す;い.でる;い.だす,exit;leave;goout;comeout;putout;protrude
三,サン;ゾウ,み;み.つ;みっ.つ,three
見,ケン,み.る;み.える;み.せる,see;hopes;chances;idea;opinion;lookat;visible
月,ゲツ;ガツ,つき,month;moon
長,チョウ,なが.い;おさ,long;leader;superior;senior
生,セイ;ショウ,うまれ;う.む,life;genuine;birth
五,ゴ,いつ;いつ.つ,five
時,ジ,とき;-どき,time;hour
上,ジョウ;ショウ;シャン,うえ;-うえ,above;up
行,コウ;ギョウ;アン,い.く;ゆ.く;-ゆ.き;-ゆき;-い.き;-いき,going;journey;carryout;conduct;act;line;row;bank
四,シ,よ;よ.つ;よっ.つ;よん,four
後,ゴ;コウ,のち;うし.ろ;うしろ;あと;おく.れる,behind;back;later
金,キン;コン;ゴン,かね;かな-;-がね,gold
前,ゼン,まえ;-まえ,infront;before
九,キュウ;ク,ここの;ここの.つ,nine
入,ニュウ;ジュ,い.る;-い.る;-い.り;い.れる;-い.れ;はい.る,enter;insert
学,ガク,まな.ぶ,study;learning;science
間,カン;ケン,あいだ;ま;あい,interval;space
円,エン,まる.い;まる;まど;まど.か;まろ.やか,circle;yen;round
子,シ;ス;ツ,こ;-こ;ね,child;signoftherat;11PM-1AM;firstsignofChinesezodiac
東,トウ,ひがし,east
八,ハチ,や;や.つ;やっ.つ;よう,eight;eightradical(no.12)
六,ロク;リク,む;む.つ;むっ.つ;むい,six
下,カ;ゲ,した;しも;もと;さ.げる;さ.がる;くだ.る;くだ.り;くだ.す;-くだ.す,below;down;descend;give;low;inferior
今,コン;キン,いま,now
気,キ;ケ,いき,spirit;mind;air;atmosphere;mood
小,ショウ,ちい.さい;こ-;お-;さ-,little;small
七,シチ,なな;なな.つ;なの,seven
高,コウ,たか.い;たか;-だか;たか.まる;たか.める,tall;high;expensive
山,サン;セン,やま,mountain
女,ジョ;ニョ;ニョウ,おんな;め,woman;female
外,ガイ;ゲ,そと;ほか;はず.す;はず.れる;と-,outside
百,ヒャク;ビャク,もも,hundred
先,セン,さき;ま.ず,before;ahead;previous;future;precedence
名,メイ;ミョウ,な;-な,name;noted;distinguished;reputation
川,セン,かわ,stream;river;riverorthree-strokeriverradical(no.47)
千,セン,ち,thousand
来,ライ;タイ,く.る;きた.る;きた.す;き.たす;き.たる;き;こ,come;due;next;cause;become
水,スイ,みず;みず-,water
男,ダン;ナン,おとこ;お,male
話,ワ,はな.す;はなし,tale;talk
校,コウ;キョウ,,exam;school;printing;proof;correction
北,ホク,きた,north
土,ド;ト,つち,soil;earth;ground;Turkey
午,ゴ,うま,noon;signofthehorse;11AM-1PM;seventhsignofChinesezodiac
木,ボク;モク,き;こ-,tree;wood
車,シャ,くるま,car
書,ショ,か.く;-が.き;-がき,write
半,ハン,なか.ば,half;middle;oddnumber;semi-;part-
白,ハク;ビャク,しろ;しら-;しろ.い,white
天,テン,あまつ;あめ;あま-,heavens;sky;imperial
西,セイ;サイ;ス,にし,west;Spain
電,デン,,electricity
